ABBREVIATION	fp-krea	fp-kreatiniini	fs-krea	fs-kreatiniini	kreatiniini	kreatiniini,virtsasta(huumeseulonnanyhteydessä)	kreatiniini(4600p-krea)	kreatiniini(krea)	kreatiniini(p-krea)	p-krea	p-kreatiinikinaasi	p-kreatiniini	pt-krea-cl	s-krea	s-kreatiniini	u-alb/krea	u-albkrea	u-albkrea*	u-krea	COUNT
p-krea	220	NA	NA	NA	41	NA	18	97	161	53916	NA	71	NA	NA	NA	NA	NA	NA	NA	363492
fp-krea	636	8	NA	NA	NA	NA	NA	NA	NA	21948	NA	NA	NA	NA	NA	NA	NA	NA	NA	45432
u-krea	NA	NA	NA	NA	23	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1436	14863
fs-krea	1328	NA	7	34	NA	NA	NA	NA	NA	1252	NA	NA	NA	159	17	NA	NA	NA	NA	11330
u-albkre	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	71	919	21	NA	1013
pt-krea-cl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	28
b-grag-d	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	19
p-ck	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	12
s-krtiin	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	11
