AGE	N_MEASURED	N_ALIVE
1	32362	38355
2	35848	44327
3	37722	47955
4	34882	50078
5	30900	53683
6	29960	55883
7	28843	57342
8	28877	58834
9	28468	60074
10	28044	60660
11	28091	61001
12	27429	60171
13	27591	60013
14	27523	59802
15	28751	59659
16	29673	58534
17	31385	58725
18	31885	57560
19	32327	56161
20	34103	57806
21	35805	58508
22	37173	58960
23	37998	58666
24	40684	61685
25	42538	63252
26	45422	66297
27	46548	66410
28	48731	69034
29	49044	68761
30	49552	68876
31	49977	69258
32	48621	67058
33	48740	66848
34	47612	65546
35	49143	67453
36	51374	70357
37	53122	72304
38	53718	73195
39	52489	71523
40	50652	69457
41	51123	69800
42	51539	70164
43	51547	69900
44	52133	70897
45	52091	71053
46	50271	68218
47	47786	64538
48	44881	60513
49	48063	64474
50	49169	65501
51	51316	67362
52	54232	70767
53	58333	75240
54	58162	74954
55	59113	75652
56	60354	76417
57	60942	77041
58	61790	77667
59	61299	76527
60	60790	75512
61	61156	75156
62	59691	73459
63	60388	74434
64	61213	75902
65	62123	77172
66	60662	75653
67	59015	74888
68	59333	75698
69	58186	74699
70	58411	74640
71	60879	76857
72	62929	78443
73	62962	77644
74	62172	75269
75	67304	79289
76	40769	47619
77	42748	48712
78	38091	42687
79	39072	43105
80	37915	40992
81	40391	42695
82	37778	39219
83	34821	35302
84	31385	31238
85	30391	29558

